StudentID,Name,Age,Gender,Degree,Specialization,GPA,PlacementStatus,PlacementCompany,JobRole,PlacementSalary(LPA),InternshipExperience,ExtraCurricularActivities,CommunicationSkills
S0275,Student_275,20,Male,M.Tech,Robotics,7.05,No,,,,No,Low,Good
S0276,Student_276,24,Male,BBA,Entrepreneurship,7.04,Yes,Deloitte,Project Manager,10.4,Yes,High,Average
S0277,Student_277,21,Male,B.Tech,Civil,6.07,No,,,,No,High,Average
S0278,Student_278,21,Male,BBA,Operations,8.09,Yes,Accenture,Consultant,10.1,No,Low,Good
S0279,Student_279,21,Male,M.Tech,AI,6.02,No,,,,No,High,Average
S0280,Student_280,22,Other,MBA,Marketing,8.0,Yes,Amazon,Research Scientist,12.8,No,Medium,Good
S0281,Student_281,25,Female,MBA,Marketing,7.96,No,,,,No,Medium,Excellent
S0282,Student_282,20,Male,BBA,International Business,9.73,No,,,,No,High,Good
S0283,Student_283,23,Female,BBA,International Business,6.73,Yes,Wipro,Software Engineer,11.5,Yes,Low,Average
S0284,Student_284,21,Other,B.Sc,Physics,8.08,No,,,,No,Low,Excellent
S0285,Student_285,23,Other,MBA,Finance,8.74,Yes,Wipro,Consultant,22.7,No,High,Good
S0286,Student_286,24,Male,M.Tech,Structural Engineering,6.7,Yes,Google,Project Manager,17.7,Yes,Medium,Good
S0287,Student_287,23,Male,M.Tech,AI,7.48,Yes,Wipro,Software Engineer,13.8,Yes,High,Average
S0288,Student_288,21,Male,B.Sc,Mathematics,8.64,Yes,Microsoft,Consultant,23.2,No,Low,Average
S0289,Student_289,21,Male,B.Sc,Physics,6.21,Yes,Accenture,Consultant,22.0,Yes,Medium,Average
S0290,Student_290,22,Other,M.Tech,Structural Engineering,6.78,Yes,Accenture,Research Scientist,19.9,No,Medium,Excellent
S0291,Student_291,21,Male,MBA,Finance,9.75,No,,,,Yes,Low,Average
S0292,Student_292,21,Other,B.Tech,Mechanical,9.0,No,,,,No,Low,Good
S0293,Student_293,22,Male,M.Tech,AI,8.84,No,,,,Yes,Medium,Good
S0294,Student_294,25,Male,B.Sc,Biology,7.05,No,,,,Yes,High,Good
S0295,Student_295,20,Female,M.Tech,AI,9.04,Yes,Infosys,Consultant,5.5,Yes,High,Excellent
S0296,Student_296,24,Other,BBA,Operations,9.28,Yes,Deloitte,Software Engineer,15.8,No,High,Good
S0297,Student_297,20,Other,MBA,Finance,9.91,No,,,,No,High,Average
S0298,Student_298,20,Male,BBA,Operations,8.71,No,,,,Yes,Medium,Good
S0299,Student_299,23,Male,MBA,HR,7.29,No,,,,No,High,Good
S0300,Student_300,22,Female,M.Tech,Structural Engineering,6.35,No,,,,Yes,Low,Excellent
S0301,Student_301,20,Other,M.Tech,Robotics,9.6,No,,,,No,High,Average
S0302,Student_302,22,Male,BBA,Operations,6.64,No,,,,No,Low,Good
S0303,Student_303,24,Female,BBA,International Business,7.99,Yes,Microsoft,Data Analyst,16.4,Yes,Low,Good
S0304,Student_304,20,Female,B.Sc,Mathematics,9.34,Yes,Deloitte,Software Engineer,10.9,Yes,High,Good
S0305,Student_305,21,Female,M.Tech,Structural Engineering,8.64,Yes,TCS,Data Analyst,5.0,No,High,Good
S0306,Student_306,20,Female,B.Tech,Mechanical,6.92,Yes,Amazon,Research Scientist,6.5,No,Medium,Excellent
S0307,Student_307,24,Male,MBA,Finance,9.92,Yes,Google,Project Manager,21.6,Yes,Medium,Average
S0308,Student_308,24,Other,B.Sc,Mathematics,8.53,Yes,Microsoft,Data Analyst,19.0,No,Medium,Excellent
S0309,Student_309,23,Other,B.Tech,Electronics,7.29,Yes,Deloitte,Consultant,6.4,No,High,Good
S0310,Student_310,22,Male,M.Tech,AI,9.8,No,,,,No,Medium,Excellent
S0311,Student_311,25,Female,MBA,HR,7.59,No,,,,Yes,High,Excellent
S0312,Student_312,24,Male,B.Sc,Physics,8.14,No,,,,No,Low,Good
S0313,Student_313,24,Female,BBA,International Business,9.67,Yes,Amazon,Software Engineer,16.2,No,Low,Excellent
S0314,Student_314,20,Female,MBA,Marketing,8.53,No,,,,No,High,Good
S0315,Student_315,22,Male,BBA,International Business,7.88,No,,,,No,Medium,Good
S0316,Student_316,21,Female,B.Sc,Physics,9.73,No,,,,Yes,Low,Excellent
S0317,Student_317,25,Male,BBA,International Business,7.85,Yes,Accenture,Data Analyst,19.9,Yes,Medium,Excellent
S0318,Student_318,24,Male,BBA,Operations,9.67,No,,,,No,Low,Good
S0319,Student_319,21,Other,BBA,International Business,6.46,Yes,Deloitte,Project Manager,24.1,No,Medium,Excellent
S0320,Student_320,20,Male,BBA,International Business,7.2,No,,,,No,High,Average
S0321,Student_321,25,Other,MBA,HR,6.31,Yes,Amazon,Project Manager,24.2,No,Medium,Good
S0322,Student_322,22,Female,B.Tech,Civil,9.58,No,,,,Yes,High,Average
S0323,Student_323,22,Female,B.Sc,Biology,7.6,Yes,Microsoft,Research Scientist,9.9,Yes,Low,Average
S0324,Student_324,20,Other,M.Tech,Robotics,8.61,Yes,Google,Software Engineer,15.3,Yes,Low,Excellent
S0325,Student_325,20,Other,M.Tech,AI,7.17,No,,,,Yes,Medium,Excellent
S0326,Student_326,24,Male,M.Tech,Structural Engineering,7.93,No,,,,Yes,Low,Average
S0327,Student_327,23,Female,M.Tech,Structural Engineering,6.06,No,,,,No,High,Good
S0328,Student_328,21,Male,B.Tech,Civil,8.29,No,,,,No,Low,Excellent
S0329,Student_329,25,Female,M.Tech,Structural Engineering,9.17,Yes,Wipro,Research Scientist,7.0,Yes,Medium,Good
S0330,Student_330,24,Male,M.Tech,Robotics,9.18,No,,,,Yes,High,Good
S0331,Student_331,20,Other,BBA,Entrepreneurship,9.21,Yes,Deloitte,Research Scientist,20.6,No,Low,Good
S0332,Student_332,22,Female,MBA,Marketing,6.89,No,,,,No,High,Excellent
S0333,Student_333,24,Female,MBA,Finance,8.15,Yes,Google,Project Manager,16.5,No,Low,Good
S0334,Student_334,20,Other,B.Tech,Electronics,6.64,No,,,,No,High,Good
S0335,Student_335,25,Other,MBA,Marketing,6.89,Yes,Microsoft,Data Analyst,23.8,No,Low,Excellent
S0336,Student_336,25,Male,B.Sc,Physics,9.78,Yes,Microsoft,Consultant,5.5,Yes,Low,Average
S0337,Student_337,25,Other,B.Tech,Mechanical,6.27,Yes,Deloitte,Consultant,11.8,Yes,High,Good
S0338,Student_338,20,Female,M.Tech,AI,9.29,Yes,TCS,Research Scientist,12.2,No,High,Excellent
S0339,Student_339,24,Male,BBA,International Business,6.32,No,,,,Yes,Medium,Excellent
S0340,Student_340,23,Male,B.Sc,Biology,6.76,Yes,Google,Research Scientist,8.9,Yes,Low,Average
S0341,Student_341,21,Male,M.Tech,Robotics,9.6,Yes,TCS,Consultant,11.7,Yes,High,Excellent
S0342,Student_342,21,Other,MBA,Marketing,6.32,No,,,,No,High,Good
S0343,Student_343,20,Female,B.Sc,Biology,6.66,Yes,Accenture,Software Engineer,14.8,Yes,Low,Good
S0344,Student_344,22,Other,MBA,Marketing,9.04,Yes,Deloitte,Project Manager,8.3,No,Low,Excellent
S0345,Student_345,21,Other,B.Tech,Computer Science,7.93,No,,,,Yes,High,Excellent
S0346,Student_346,24,Male,BBA,Entrepreneurship,8.09,Yes,Infosys,Project Manager,20.2,Yes,Medium,Good
S0347,Student_347,23,Female,BBA,Entrepreneurship,6.05,No,,,,No,Low,Good
S0348,Student_348,21,Female,B.Tech,Civil,7.8,Yes,Microsoft,Research Scientist,9.9,Yes,Medium,Average
S0349,Student_349,20,Male,B.Sc,Biology,6.75,No,,,,Yes,Medium,Good
S0350,Student_350,24,Other,BBA,International Business,8.2,No,,,,No,Low,Average
S0351,Student_351,23,Female,MBA,Marketing,7.5,No,,,,Yes,Low,Good
S0352,Student_352,22,Other,B.Tech,Electronics,8.87,Yes,Wipro,Research Scientist,3.1,Yes,Low,Excellent
S0353,Student_353,21,Other,B.Tech,Civil,8.9,No,,,,Yes,Medium,Excellent
S0354,Student_354,23,Male,MBA,Finance,6.02,Yes,Amazon,Research Scientist,18.4,No,High,Good
S0355,Student_355,20,Female,MBA,Finance,8.97,Yes,Amazon,Software Engineer,6.2,No,Medium,Excellent
S0356,Student_356,20,Other,BBA,Operations,8.46,Yes,TCS,Data Analyst,3.9,No,Low,Average
S0357,Student_357,20,Male,B.Sc,Biology,9.06,Yes,Microsoft,Data Analyst,7.2,No,Medium,Good
S0358,Student_358,20,Other,MBA,Finance,6.84,No,,,,No,Medium,Excellent
S0359,Student_359,22,Other,B.Sc,Mathematics,8.85,No,,,,Yes,Low,Excellent
S0360,Student_360,21,Female,B.Sc,Biology,8.64,No,,,,Yes,Medium,Good
S0361,Student_361,21,Female,MBA,HR,7.42,Yes,Deloitte,Consultant,12.0,Yes,High,Excellent
S0362,Student_362,20,Female,B.Tech,Computer Science,9.49,Yes,Deloitte,Consultant,11.3,Yes,Low,Excellent
S0363,Student_363,22,Other,MBA,Finance,7.59,Yes,Infosys,Data Analyst,19.5,No,High,Excellent
S0364,Student_364,20,Female,M.Tech,Robotics,8.22,No,,,,Yes,Low,Good
S0365,Student_365,23,Female,M.Tech,Robotics,8.82,No,,,,No,Medium,Good
S0366,Student_366,23,Male,BBA,Entrepreneurship,7.1,Yes,Wipro,Consultant,20.2,Yes,High,Excellent
S0367,Student_367,21,Male,BBA,International Business,6.7,Yes,Deloitte,Project Manager,19.5,Yes,High,Good
S0368,Student_368,20,Other,M.Tech,AI,6.25,No,,,,Yes,Medium,Good
S0369,Student_369,23,Male,B.Tech,Electronics,6.1,No,,,,No,High,Average
S0370,Student_370,20,Female,B.Tech,Electronics,7.45,No,,,,Yes,High,Excellent
S0371,Student_371,23,Female,M.Tech,Robotics,8.05,Yes,Microsoft,Software Engineer,16.2,Yes,Medium,Average
S0372,Student_372,21,Male,BBA,Entrepreneurship,6.61,No,,,,Yes,Low,Excellent
S0373,Student_373,20,Male,BBA,Entrepreneurship,6.63,Yes,Deloitte,Software Engineer,17.1,Yes,High,Good
S0374,Student_374,20,Male,B.Tech,Mechanical,6.51,No,,,,Yes,Medium,Average
S0375,Student_375,21,Female,B.Tech,Electronics,8.9,No,,,,Yes,High,Good
S0376,Student_376,23,Female,B.Tech,Civil,9.67,Yes,Infosys,Research Scientist,8.7,Yes,Low,Good
S0377,Student_377,21,Other,BBA,International Business,9.03,No,,,,Yes,Medium,Good
S0378,Student_378,22,Other,M.Tech,AI,9.83,Yes,Wipro,Software Engineer,5.8,Yes,High,Average
S0379,Student_379,21,Female,B.Sc,Biology,8.41,Yes,Wipro,Research Scientist,15.4,No,High,Good
S0380,Student_380,22,Male,B.Tech,Civil,6.06,Yes,Amazon,Data Analyst,12.4,No,Low,Average
S0381,Student_381,21,Male,BBA,Entrepreneurship,6.37,No,,,,Yes,Low,Excellent
S0382,Student_382,20,Male,MBA,Finance,8.8,Yes,Wipro,Data Analyst,23.5,No,Low,Excellent
S0383,Student_383,23,Male,B.Tech,Electronics,7.04,No,,,,No,High,Good
S0384,Student_384,21,Other,BBA,International Business,9.82,Yes,Accenture,Research Scientist,18.7,No,High,Average
S0385,Student_385,20,Female,B.Sc,Biology,6.98,No,,,,Yes,Low,Average
S0386,Student_386,24,Other,B.Tech,Mechanical,8.13,Yes,Amazon,Research Scientist,21.7,No,Low,Average
S0387,Student_387,25,Other,MBA,Finance,7.67,Yes,Amazon,Project Manager,6.5,Yes,Medium,Excellent
S0388,Student_388,21,Other,BBA,Operations,8.14,No,,,,No,Medium,Excellent
S0389,Student_389,25,Female,BBA,Operations,9.52,No,,,,No,Medium,Excellent
S0390,Student_390,22,Female,M.Tech,AI,7.84,Yes,Deloitte,Software Engineer,7.6,Yes,High,Excellent
S0391,Student_391,24,Female,B.Sc,Physics,6.75,No,,,,Yes,High,Average
S0392,Student_392,24,Female,M.Tech,Robotics,8.07,Yes,Accenture,Data Analyst,18.8,Yes,Medium,Excellent
S0393,Student_393,24,Female,B.Tech,Mechanical,6.8,No,,,,No,Low,Average
S0394,Student_394,20,Female,BBA,Operations,6.33,Yes,Wipro,Project Manager,19.2,No,High,Good
S0395,Student_395,22,Male,BBA,Entrepreneurship,6.45,No,,,,Yes,High,Excellent
S0396,Student_396,25,Female,MBA,HR,6.36,Yes,Google,Software Engineer,24.9,No,Medium,Excellent
S0397,Student_397,20,Female,M.Tech,Structural Engineering,7.95,Yes,Google,Project Manager,10.1,Yes,High,Excellent
S0398,Student_398,24,Other,MBA,Marketing,9.17,Yes,Infosys,Software Engineer,11.1,No,Medium,Average
S0399,Student_399,23,Other,MBA,Marketing,9.43,No,,,,No,High,Good
S0400,Student_400,20,Female,B.Tech,Mechanical,8.93,No,,,,No,High,Excellent
S0401,Student_401,25,Other,BBA,Operations,7.89,Yes,Accenture,Consultant,5.5,Yes,Medium,Good
S0402,Student_402,25,Female,B.Tech,Mechanical,8.37,Yes,Accenture,Software Engineer,16.3,No,Low,Excellent
S0403,Student_403,23,Female,M.Tech,Robotics,7.16,No,,,,Yes,Medium,Average
S0404,Student_404,25,Female,B.Sc,Mathematics,9.72,Yes,Accenture,Consultant,22.4,No,High,Excellent
S0405,Student_405,23,Other,B.Sc,Biology,7.72,No,,,,Yes,Medium,Average
S0406,Student_406,24,Other,B.Sc,Physics,9.37,Yes,Microsoft,Research Scientist,10.5,Yes,Low,Excellent
S0407,Student_407,23,Other,B.Sc,Biology,6.35,No,,,,No,Medium,Excellent
S0408,Student_408,22,Female,MBA,Marketing,8.01,No,,,,No,High,Good
S0409,Student_409,21,Female,M.Tech,Robotics,9.39,Yes,TCS,Project Manager,16.2,Yes,Medium,Average
S0410,Student_410,20,Female,B.Sc,Biology,7.55,No,,,,Yes,Medium,Good
S0411,Student_411,23,Male,M.Tech,Robotics,8.98,No,,,,No,Medium,Average
S0412,Student_412,20,Other,MBA,HR,9.97,No,,,,Yes,High,Excellent
S0413,Student_413,25,Male,B.Tech,Computer Science,6.21,Yes,Amazon,Research Scientist,13.3,No,High,Excellent
S0414,Student_414,20,Other,B.Tech,Civil,6.88,No,,,,Yes,High,Good
S0415,Student_415,24,Female,MBA,Marketing,6.29,No,,,,Yes,High,Excellent
S0416,Student_416,25,Male,B.Sc,Physics,8.42,Yes,TCS,Data Analyst,23.0,Yes,Medium,Excellent
S0417,Student_417,25,Other,BBA,International Business,9.04,No,,,,Yes,High,Good
S0418,Student_418,23,Other,BBA,Operations,7.05,No,,,,Yes,Medium,Average
S0419,Student_419,20,Male,M.Tech,Structural Engineering,8.53,No,,,,No,High,Average
S0420,Student_420,21,Other,B.Sc,Physics,7.41,No,,,,No,Low,Average
S0421,Student_421,23,Male,B.Sc,Biology,6.89,No,,,,No,Medium,Average
S0422,Student_422,21,Other,BBA,Entrepreneurship,6.63,No,,,,No,High,Average
S0423,Student_423,20,Male,B.Tech,Computer Science,6.5,No,,,,No,Low,Excellent
S0424,Student_424,22,Male,B.Sc,Physics,6.17,Yes,Amazon,Software Engineer,15.4,No,High,Excellent
S0425,Student_425,22,Male,B.Sc,Mathematics,9.01,No,,,,No,Low,Excellent
S0426,Student_426,21,Male,BBA,Entrepreneurship,6.72,Yes,TCS,Consultant,22.6,No,Medium,Good
S0427,Student_427,20,Female,M.Tech,AI,7.47,Yes,Deloitte,Data Analyst,8.8,Yes,Medium,Good
S0428,Student_428,21,Male,M.Tech,Robotics,8.99,No,,,,Yes,Medium,Excellent
S0429,Student_429,21,Female,BBA,International Business,7.91,Yes,Wipro,Software Engineer,7.1,No,Medium,Good
S0430,Student_430,25,Male,B.Tech,Mechanical,9.01,No,,,,Yes,Low,Average
S0431,Student_431,20,Female,B.Sc,Biology,6.47,Yes,Microsoft,Project Manager,7.5,Yes,High,Average
S0432,Student_432,22,Female,B.Sc,Physics,6.47,Yes,Infosys,Data Analyst,17.4,Yes,Low,Excellent
S0433,Student_433,25,Other,B.Sc,Biology,9.02,Yes,Microsoft,Project Manager,13.6,Yes,Medium,Excellent
S0434,Student_434,20,Male,MBA,Marketing,6.07,Yes,TCS,Data Analyst,22.5,No,High,Good
S0435,Student_435,22,Other,B.Tech,Civil,6.78,Yes,Infosys,Project Manager,18.1,No,Medium,Excellent
S0436,Student_436,21,Other,B.Sc,Physics,6.18,Yes,TCS,Consultant,21.7,Yes,Low,Excellent
S0437,Student_437,21,Male,BBA,Operations,8.17,Yes,Deloitte,Project Manager,21.8,No,Low,Good
S0438,Student_438,24,Other,BBA,International Business,9.27,No,,,,Yes,Low,Excellent
S0439,Student_439,23,Male,MBA,Finance,9.46,No,,,,Yes,High,Average
S0440,Student_440,25,Female,MBA,Finance,6.7,No,,,,No,Medium,Average
S0441,Student_441,24,Female,MBA,Marketing,9.35,No,,,,No,Medium,Excellent
S0442,Student_442,22,Female,M.Tech,Robotics,7.37,Yes,Microsoft,Consultant,12.7,No,Low,Average
S0443,Student_443,23,Female,B.Sc,Biology,9.69,No,,,,No,Low,Average
S0444,Student_444,25,Male,M.Tech,Structural Engineering,6.68,Yes,Google,Project Manager,15.2,No,Low,Excellent
S0445,Student_445,22,Female,BBA,Entrepreneurship,7.62,No,,,,Yes,Medium,Excellent
S0446,Student_446,21,Male,M.Tech,Structural Engineering,7.79,No,,,,Yes,Low,Good
S0447,Student_447,25,Female,B.Tech,Mechanical,9.86,No,,,,No,High,Good
S0448,Student_448,20,Female,B.Sc,Physics,9.67,Yes,TCS,Software Engineer,13.6,No,High,Good
S0449,Student_449,20,Female,MBA,Marketing,7.86,Yes,Microsoft,Project Manager,20.2,Yes,High,Good
S0450,Student_450,24,Male,M.Tech,AI,9.21,Yes,Amazon,Consultant,7.7,No,Medium,Excellent
S0451,Student_451,21,Male,BBA,International Business,6.49,No,,,,Yes,Low,Average
S0452,Student_452,21,Male,MBA,Finance,8.7,No,,,,No,Medium,Good
S0453,Student_453,23,Female,MBA,HR,7.45,Yes,Deloitte,Research Scientist,6.1,Yes,High,Average
S0454,Student_454,25,Female,MBA,Finance,7.71,No,,,,No,Medium,Good
S0455,Student_455,22,Other,B.Tech,Electronics,8.7,Yes,Amazon,Data Analyst,17.9,Yes,High,Good
S0456,Student_456,21,Male,MBA,Marketing,6.63,Yes,Google,Research Scientist,5.5,Yes,High,Excellent
S0457,Student_457,21,Female,BBA,Operations,8.47,No,,,,Yes,Medium,Good
S0458,Student_458,20,Female,B.Sc,Biology,9.47,Yes,Wipro,Data Analyst,9.3,No,Medium,Average
S0459,Student_459,23,Other,BBA,Operations,9.69,Yes,Accenture,Research Scientist,15.5,No,Medium,Average
S0460,Student_460,21,Female,B.Sc,Biology,7.65,No,,,,Yes,High,Average
S0461,Student_461,21,Female,BBA,Entrepreneurship,8.83,Yes,Deloitte,Research Scientist,12.7,Yes,High,Excellent
S0462,Student_462,23,Male,B.Tech,Mechanical,6.59,No,,,,Yes,High,Excellent
S0463,Student_463,24,Female,B.Sc,Biology,6.51,Yes,Infosys,Research Scientist,7.4,Yes,Low,Average
S0464,Student_464,21,Other,B.Sc,Biology,9.14,No,,,,No,Medium,Average
S0465,Student_465,25,Other,M.Tech,Structural Engineering,9.68,No,,,,No,Medium,Excellent
S0466,Student_466,21,Male,B.Tech,Electronics,7.88,No,,,,Yes,High,Good
S0467,Student_467,21,Male,B.Tech,Civil,8.11,Yes,Accenture,Consultant,11.6,Yes,Medium,Average
S0468,Student_468,23,Female,B.Tech,Civil,9.18,Yes,Microsoft,Data Analyst,17.7,Yes,Low,Excellent
S0469,Student_469,22,Other,B.Tech,Computer Science,7.46,No,,,,No,Medium,Average
S0470,Student_470,20,Other,M.Tech,Structural Engineering,8.05,Yes,TCS,Research Scientist,8.5,Yes,Medium,Average
S0471,Student_471,24,Other,BBA,Operations,9.55,Yes,TCS,Software Engineer,20.3,Yes,Medium,Average
S0472,Student_472,22,Other,M.Tech,AI,9.74,No,,,,Yes,High,Good
S0473,Student_473,20,Other,M.Tech,Structural Engineering,7.18,No,,,,Yes,Low,Average
S0474,Student_474,24,Male,B.Sc,Biology,6.32,No,,,,Yes,High,Excellent
S0475,Student_475,22,Female,BBA,Entrepreneurship,7.61,Yes,Infosys,Consultant,24.4,No,Medium,Excellent
S0476,Student_476,24,Female,M.Tech,Structural Engineering,8.27,No,,,,No,Low,Excellent
S0477,Student_477,20,Other,MBA,Finance,9.97,No,,,,Yes,Low,Average
S0478,Student_478,24,Female,MBA,Finance,6.95,Yes,Google,Software Engineer,6.9,Yes,High,Excellent
S0479,Student_479,21,Female,M.Tech,AI,8.39,No,,,,Yes,Low,Excellent
S0480,Student_480,24,Female,BBA,Entrepreneurship,7.75,Yes,TCS,Project Manager,24.6,No,Medium,Average
S0481,Student_481,23,Female,MBA,Marketing,7.4,Yes,Deloitte,Data Analyst,19.5,No,Low,Excellent
S0482,Student_482,25,Male,B.Tech,Electronics,7.34,No,,,,No,Medium,Excellent
S0483,Student_483,23,Male,B.Tech,Civil,9.58,Yes,Amazon,Research Scientist,14.5,No,High,Average
S0484,Student_484,20,Other,B.Tech,Electronics,6.76,No,,,,Yes,Medium,Good
S0485,Student_485,22,Male,B.Sc,Physics,6.52,Yes,Deloitte,Software Engineer,9.8,Yes,High,Excellent
S0486,Student_486,21,Male,BBA,International Business,6.22,No,,,,Yes,Medium,Average
S0487,Student_487,20,Female,B.Tech,Electronics,6.37,No,,,,Yes,High,Average
S0488,Student_488,22,Female,B.Tech,Mechanical,9.11,Yes,Deloitte,Software Engineer,24.8,Yes,Medium,Average
S0489,Student_489,21,Male,MBA,Marketing,6.61,Yes,Microsoft,Software Engineer,7.7,No,Medium,Average
S0490,Student_490,24,Male,B.Tech,Electronics,8.79,No,,,,Yes,Low,Excellent
S0491,Student_491,20,Male,B.Sc,Biology,9.54,Yes,Microsoft,Research Scientist,6.4,No,High,Excellent
S0492,Student_492,21,Male,B.Tech,Mechanical,8.95,Yes,Deloitte,Project Manager,13.2,Yes,High,Good
S0493,Student_493,24,Other,MBA,Finance,6.92,No,,,,Yes,High,Excellent
S0494,Student_494,24,Other,BBA,Entrepreneurship,9.9,No,,,,Yes,High,Excellent
S0495,Student_495,20,Female,MBA,HR,9.48,No,,,,Yes,Low,Good
S0496,Student_496,21,Other,M.Tech,AI,6.61,Yes,Accenture,Research Scientist,8.0,Yes,High,Good
S0497,Student_497,23,Other,MBA,HR,8.69,No,,,,No,Low,Good
S0498,Student_498,25,Other,M.Tech,AI,9.85,Yes,Deloitte,Project Manager,4.6,Yes,Medium,Good
S0499,Student_499,20,Male,B.Sc,Biology,8.26,Yes,Infosys,Consultant,4.6,No,Medium,Excellent
S0500,Student_500,24,Male,BBA,Entrepreneurship,9.17,Yes,Accenture,Project Manager,20.1,No,Medium,Average
